time_mean_vibX,time_std_vibX,time_max_vibX,time_min_vibX,time_rms_vibX,time_ptp_vibX,time_median_vibX,time_iqr_vibX,time_pr_vibX,time_skew_vibX,time_kurtosis_vibX,time_var_vibX,time_amp_vibX,time_smr_vibX,time_wavefactor_vibX,time_peakfactor_vibX,time_pulse_vibX,time_margin_vibX,freq_mean_vibX,freq_std_vibX,freq_max_vibX,freq_min_vibX,freq_rms_vibX,freq_median_vibX,freq_iqr_vibX,freq_pr_vibX,freq_f2_vibX,freq_f3_vibX,freq_f4_vibX,freq_f5_vibX,freq_f6_vibX,freq_f7_vibX,freq_f8_vibX,ener_cA5_vibX,ener_cD1_vibX,ener_cD2_vibX,ener_cD3_vibX,ener_cD4_vibX,ener_cD5_vibX,ratio_cA5_vibX,ratio_cD1_vibX,ratio_cD2_vibX,ratio_cD3_vibX,ratio_cD4_vibX,ratio_cD5_vibX,time_mean_vibY,time_std_vibY,time_max_vibY,time_min_vibY,time_rms_vibY,time_ptp_vibY,time_median_vibY,time_iqr_vibY,time_pr_vibY,time_skew_vibY,time_kurtosis_vibY,time_var_vibY,time_amp_vibY,time_smr_vibY,time_wavefactor_vibY,time_peakfactor_vibY,time_pulse_vibY,time_margin_vibY,freq_mean_vibY,freq_std_vibY,freq_max_vibY,freq_min_vibY,freq_rms_vibY,freq_median_vibY,freq_iqr_vibY,freq_pr_vibY,freq_f2_vibY,freq_f3_vibY,freq_f4_vibY,freq_f5_vibY,freq_f6_vibY,freq_f7_vibY,freq_f8_vibY,ener_cA5_vibY,ener_cD1_vibY,ener_cD2_vibY,ener_cD3_vibY,ener_cD4_vibY,ener_cD5_vibY,ratio_cA5_vibY,ratio_cD1_vibY,ratio_cD2_vibY,ratio_cD3_vibY,ratio_cD4_vibY,ratio_cD5_vibY,Label
-0.003496484,0.430641566,1.438,-1.504,0.430571645,2.942,0.026,0.527,1.0842,-0.201024056,0.372725535,0.185379716,0.334019922,0.278335171,1.289059775,3.339746162,4.305132436,5.166432962,13.88471088,16.78836827,145.3275906,0.22742644,21.78610809,7.679404997,14.66124244,32.23345488,282.0696761,2.664758517,12.706297,4077.51362,37.90391975,0.012780298,0.586929051,36.22913221,19.07676913,246.3601109,74.32177819,97.79465821,14.5756102,0.074185593,0.039063078,0.504466152,0.152187062,0.200251959,0.029846155,-7.38E-05,0.251106837,0.988,-0.979,0.251057799,1.967,-0.0025,0.332,0.6332,0.09535438,0.166472801,0.063030013,0.199048828,0.168025991,1.2612875,3.935348771,4.963606213,5.880042696,10.21491713,7.550638255,54.4115437,0.111747713,12.70262454,8.241834092,9.232173863,17.27496167,57.05671361,1.498788944,6.084430666,6052.755365,60.89712466,0.012016205,0.727797031,10.3445357,55.45557564,69.28675896,27.01457778,5.611343416,1.575437491,0.061106054,0.327580813,0.409282792,0.159577414,0.033146684,0.009306244,19540
0.001170312,0.448758755,2.189,-2.306,0.448672625,4.495,0.01,0.4865,0.9902,-0.503005693,2.943923807,0.201305755,0.326208594,0.264349453,1.375416324,4.878835657,6.710430203,8.280705605,14.45717274,17.50256838,147.0855787,0.177753168,22.7013159,7.302241018,16.07747589,34.91330451,306.5794149,2.681320831,13.75769701,3871.297748,35.81313101,0.012896389,0.570013584,30.55157572,19.74187043,206.1136324,77.33197503,173.2373029,25.8071452,0.057343322,0.037054208,0.38686189,0.14514709,0.325155157,0.048438334,-0.000450391,0.260628491,1.182,-0.918,0.260577972,2.1,-0.003,0.342,0.663,0.082390855,0.21312773,0.067900676,0.206398828,0.174058953,1.262497341,4.536070308,5.726776701,6.79080266,10.65638205,7.763237651,55.45074464,0.090512432,13.18432164,8.766466875,9.621190678,18.05509679,60.3149799,1.52013912,6.561470154,5941.30835,58.59761084,0.011878851,0.720801485,11.36833593,59.30978996,75.44850062,29.71565836,7.817952168,1.063381959,0.061542406,0.321073127,0.408439922,0.160865506,0.042322429,0.005756611,19530
0.004271875,0.414134421,1.381,-1.937,0.414075564,3.318,0.022,0.484,0.9472,-0.520259557,1.754216946,0.171440324,0.311508594,0.258025068,1.329258878,3.335140057,4.433264532,5.352193135,13.62181804,15.91937779,156.9337438,0.191934473,20.95186187,7.654558357,15.31346831,30.39802274,253.6247335,2.876876747,16.43889141,4008.339977,38.03925323,0.013067373,0.579547702,45.29648176,19.6651756,168.7229039,77.42075493,139.1082438,23.04389951,0.095712135,0.041552806,0.356513987,0.163591198,0.293937773,0.0486921,-0.001639453,0.251026747,0.857,-0.845,0.250983068,1.702,-0.002,0.32525,0.6411,0.059158428,0.129325956,0.062989813,0.197989453,0.166494596,1.267658777,3.414572971,4.328513395,5.147314199,10.15437097,7.626024226,57.5914502,0.16144572,12.69911396,8.054014603,9.037637458,17.89770759,58.20171559,1.548156787,6.282960171,6113.352037,61.49216425,0.011982958,0.731988864,7.558824111,59.14595796,67.02217733,27.0857127,4.512481111,1.306119718,0.045362578,0.354951126,0.40221848,0.162548795,0.027080638,0.007838383,19520
0.001515234,0.390195076,1.348,-1.644,0.390121801,2.992,0.0215,0.513,0.9791,-0.222594948,0.389233711,0.152192724,0.308478516,0.261050601,1.264664415,3.455331118,4.369834305,5.163749845,13.06716639,14.79430336,114.2859566,0.230571813,19.73885126,7.612383218,13.91721963,28.47528801,219.0425388,2.524786863,11.57259635,4222.984584,40.22529573,0.012929821,0.59801459,36.9228227,20.99070278,185.0855697,67.41755502,89.27003325,18.72017187,0.088246218,0.050168162,0.44235788,0.161129184,0.213357004,0.044741552,-0.005190625,0.262182952,1.112,-0.911,0.262183126,2.023,0.0005,0.353,0.675,-0.013198496,0.071943716,0.068713049,0.208513281,0.175834493,1.25739293,4.241310332,5.332993627,6.32412891,10.5176218,8.088279944,60.93413418,0.106155648,13.26803078,8.5255684,8.866401213,18.11559693,65.471422,1.754624959,7.384085169,6116.780484,60.45301881,0.011787937,0.731136416,13.57798904,64.03658711,79.90530465,26.19804938,6.793607291,2.33410313,0.070408587,0.332061367,0.414348514,0.13584984,0.035228213,0.012103479,19510
0.005896094,0.333513162,1.198,-1.316,0.333500141,2.514,0.0145,0.44625,0.8361,-0.116561631,0.227959952,0.11118758,0.263996094,0.22259851,1.2632768,3.592202384,4.537945933,5.381886887,11.65855068,12.20228583,84.92320695,0.053352608,16.87653944,7.317161056,11.83287417,25.12581746,149.0121952,2.087871975,8.131045961,4375.479225,43.96937043,0.01342844,0.609603124,83.4728018,20.34051558,143.3913664,56.31722705,38.94101466,12.35514553,0.235255216,0.057326605,0.404126447,0.158721417,0.109749243,0.034821072,-0.001770312,0.261103175,0.989,-0.841,0.261058176,1.83,-0.005,0.348,0.6691,0.113870931,0.091274721,0.068148237,0.208085937,0.176992714,1.254569044,3.788427608,4.752844002,5.58780065,10.56919387,7.922559651,53.10423552,0.280375577,13.20889134,8.499200979,9.892796616,18.98467069,62.81602644,1.420049311,5.693453186,6096.561861,60.03275728,0.01173351,0.732733667,13.28056667,64.25787149,71.27899652,31.22994994,4.316539608,1.224837649,0.07155911,0.346237945,0.384069573,0.168275006,0.023258626,0.00659974,19500
0.005792188,0.413033437,1.529,-1.865,0.412993378,3.394,0.028,0.49,1.0175,-0.355970044,0.850541548,0.170529981,0.317240625,0.263579099,1.301830049,3.702238536,4.819685373,5.800915203,13.59912093,15.86794808,131.3786609,0.025298517,20.89803499,7.536355011,14.04212163,31.39584516,251.9886424,2.390224346,10.25636289,4159.147725,38.86202872,0.012710157,0.596332787,43.51043543,20.75924249,228.981924,57.07071611,88.18230869,13.03161487,0.096360893,0.045974698,0.507117487,0.126392327,0.195293978,0.028860618,-0.004098047,0.263214603,1.066,-1.094,0.263195095,2.16,-0.005,0.344,0.676,0.011280929,0.189592414,0.069254864,0.207021484,0.173208433,1.271341939,4.050227451,5.14922402,6.154434772,10.69147777,7.941702613,58.15355542,0.179818965,13.31834589,8.616112007,9.869226483,18.82550627,63.11995286,1.568525403,6.69082917,6108.954612,59.78102834,0.011635964,0.734638644,8.537589995,64.75645189,77.94493126,22.82400016,6.191747387,1.201026306,0.047050535,0.356871871,0.42955339,0.125782735,0.03412263,0.006618839,19490
0.00738125,0.382824088,1.376,-1.295,0.382820476,2.671,0.012,0.51125,0.9742,-0.004912921,0.132210469,0.146497034,0.30435,0.257471937,1.257829724,3.594374086,4.521110563,5.344271754,12.80056648,14.54136937,127.6170156,0.086463264,19.37281408,7.59119779,12.68869295,27.76310017,211.6167487,2.779831422,14.25953427,4251.525401,41.17046447,0.013063608,0.598022144,54.44150144,21.49966551,180.1444971,75.14399713,66.44275514,13.02461123,0.132558791,0.052349211,0.43863112,0.182966986,0.161780463,0.03171343,0.003175781,0.271792663,0.967,-0.966,0.27175813,1.933,0.0055,0.36025,0.6811,0.020996288,0.202595027,0.073842396,0.215639844,0.182442534,1.260240804,3.558311208,4.484328977,5.300299117,11.01792129,8.227398419,63.13579591,0.352350461,13.75080631,8.853376236,9.271623539,18.53083011,67.74300897,1.78051293,7.860611367,6105.492377,59.03100063,0.011513181,0.731391371,8.090707113,67.71749019,85.61385281,24.91541425,5.637072038,1.349709381,0.041850452,0.350279345,0.442851089,0.12887889,0.02915864,0.006981584,19480
0.008846094,0.460070586,1.849,-2.822,0.460065773,4.671,0.0175,0.527,1.0333,-0.458039533,3.20553478,0.211582262,0.33906875,0.278683531,1.356851002,4.018990562,5.45317137,6.634765934,15.31078741,17.53941004,136.7904515,0.101689316,23.28199123,8.602852986,16.70042412,34.87749706,307.871429,2.493109422,11.80020066,3815.470838,34.99538464,0.012655951,0.564418775,51.29250637,23.7893882,161.6501044,81.29452162,201.5697556,46.91206025,0.090541486,0.041993006,0.285344617,0.143501016,0.355810749,0.082809126,-0.001334766,0.276303656,1.126,-0.882,0.276252909,2.008,-0.001,0.3805,0.6981,0.064367526,0.149963811,0.076313888,0.219888672,0.185923356,1.256330792,4.075975173,5.120773118,6.056258995,11.31530271,8.205882226,52.34512231,0.305699916,13.97757413,9.238377633,10.62587966,19.2798729,67.38915088,1.399221895,5.629385274,6051.927743,57.71907988,0.011360614,0.7314087,12.53270242,74.96176217,81.62089297,27.65201607,9.908026487,1.679284656,0.060150807,0.359779586,0.391740138,0.132716075,0.047553654,0.00805974,19470
0.007478906,0.465354681,2.09,-2.865,0.465323888,4.955,0.025,0.5465,1.0863,-0.431904716,3.157143318,0.216470387,0.346924219,0.286658492,1.341283955,4.491495176,6.024370416,7.290905577,15.27466898,17.92023801,139.6977426,0.144432661,23.54677138,8.534785282,16.48354557,35.17240211,321.386013,2.570061964,12.19191591,3881.145493,35.14021563,0.012572062,0.568856347,42.91115259,23.41660014,184.5411271,100.2997192,192.0618636,26.97147619,0.075256062,0.041067205,0.323641704,0.175902101,0.336831306,0.047301621,-0.000302734,0.284528028,1.054,-0.978,0.284472612,2.032,0.002,0.38825,0.7182,0.020808881,0.10097805,0.080924575,0.227503516,0.194557551,1.250409739,3.705101851,4.632895439,5.417420159,11.57677035,8.552529997,61.05484758,0.31452269,14.39331029,9.354605106,10.52858643,20.03307556,73.20295916,1.404833802,5.550788839,6018.946867,56.70489813,0.011263142,0.729359684,7.600225588,72.43820619,89.45605997,34.40308628,6.569680353,1.552108212,0.035846846,0.341658441,0.421924003,0.162263886,0.030986228,0.007320596,19460
-0.005262109,0.409024609,1.335,-1.618,0.408978567,2.953,-0.01,0.56525,1.0301,-0.055420123,0.125697708,0.167235779,0.326664453,0.277752404,1.251983689,3.264229736,4.086762386,4.806439045,13.69778277,15.51236492,153.8162248,0.051099646,20.69450937,8.164868541,14.88124059,29.19223956,240.8216073,2.777286167,14.74118316,4135.276476,38.92126068,0.012796393,0.590177024,42.83053809,25.38659515,180.5341382,94.11376358,121.8699762,17.30885758,0.088851951,0.052664491,0.374518068,0.195239001,0.252819264,0.035907225,-0.000586719,0.285036381,0.932,-0.897,0.284981308,1.829,-0.007,0.37625,0.7312,0.109111589,-0.051267502,0.081214002,0.227874219,0.193583953,1.250607945,3.270389927,4.089975624,4.814448646,11.35825442,8.882165905,64.36213549,0.155024329,14.41883541,8.955772902,10.13663978,19.67394117,78.95455441,1.791078776,7.836930524,6037.681126,57.4746659,0.011371041,0.729355042,9.605209079,71.73531148,90.21312736,35.28295669,6.130366357,1.636752085,0.044757887,0.334268718,0.420370747,0.164409807,0.028565983,0.007626858,19450
